generic_land_use_type_id,"generic_land_use_type_name","unit_name"
1,"single_family_residential","residential_units"
2,"multi_family_residential","residential_units"
3,"office","building_sqft"
4,"commercial","building_sqft"
5,"industrial","building_sqft"
6,"mixed_use","building_sqft"
7,"government","building_sqft"
8,"other","building_sqft"
9,"no code","na"
