constraint_id,plan_type_id,generic_land_use_type_id,"constraint_type",minimum,maximum,hb_tier,hb_hct_buffer,is_zoned_res_or_mix
1,1,1,"units_per_acre",0,4.08,-1,-1,-1
2,2,1,"units_per_acre",0,2.61,-1,-1,-1
3,3,1,"units_per_acre",0,7.26,-1,-1,-1
4,4,1,"units_per_acre",0,6.22,-1,-1,-1
5,5,1,"units_per_acre",0,5.44,-1,-1,-1
6,6,1,"units_per_acre",0,6.05,-1,-1,-1
7,7,1,"units_per_acre",4,15.6,-1,-1,-1
8,8,1,"units_per_acre",4,31.2,-1,-1,-1
9,9,1,"units_per_acre",0,1.2,-1,-1,-1
10,10,1,"units_per_acre",0,6.05,-1,-1,-1
11,11,1,"units_per_acre",0,8.7,-1,-1,-1
12,13,1,"units_per_acre",0,5.8,-1,-1,-1
13,14,1,"units_per_acre",0,12,-1,-1,-1
14,18,1,"units_per_acre",0,5.44,-1,-1,-1
15,19,1,"units_per_acre",0,12,-1,-1,-1
16,31,1,"units_per_acre",0,10.13,-1,-1,-1
17,33,1,"units_per_acre",0,10.13,-1,-1,-1
18,34,1,"units_per_acre",0,6.05,-1,-1,-1
19,35,1,"units_per_acre",0,4.53,-1,-1,-1
20,39,1,"units_per_acre",0,20,-1,-1,-1
21,46,1,"units_per_acre",0,9.66145,-1,-1,-1
22,48,1,"units_per_acre",0,12,-1,-1,-1
23,49,1,"units_per_acre",1,1,-1,-1,-1
24,50,1,"units_per_acre",8,10,-1,-1,-1
25,51,1,"units_per_acre",4,5,-1,-1,-1
26,52,1,"units_per_acre",5,7,-1,-1,-1
27,53,1,"units_per_acre",0.25,0.25,-1,-1,-1
28,54,1,"units_per_acre",8,10,-1,-1,-1
29,55,1,"units_per_acre",0,9.98,-1,-1,-1
30,58,1,"units_per_acre",1,1,-1,-1,-1
31,59,1,"units_per_acre",15,20,-1,-1,-1
32,61,1,"units_per_acre",0,24,-1,-1,-1
33,62,1,"units_per_acre",0,17,-1,-1,-1
34,63,1,"units_per_acre",0,24,-1,-1,-1
35,64,1,"units_per_acre",0,17,-1,-1,-1
36,65,1,"units_per_acre",0,26.136,-1,-1,-1
37,66,1,"units_per_acre",0,26.136,-1,-1,-1
38,67,1,"units_per_acre",0,17,-1,-1,-1
39,68,1,"units_per_acre",0,2,-1,-1,-1
40,69,1,"units_per_acre",0,0.4,-1,-1,-1
41,70,1,"units_per_acre",0,1,-1,-1,-1
42,71,1,"units_per_acre",0,21,-1,-1,-1
43,72,1,"units_per_acre",0,2,-1,-1,-1
44,73,1,"units_per_acre",0,2.9,-1,-1,-1
45,74,1,"units_per_acre",0,3.5,-1,-1,-1
46,75,1,"units_per_acre",0,4.3,-1,-1,-1
47,76,1,"units_per_acre",0,5,-1,-1,-1
48,77,1,"units_per_acre",0,6,-1,-1,-1
49,78,1,"units_per_acre",0,12,-1,-1,-1
50,80,1,"units_per_acre",0,4.35,-1,-1,-1
51,83,1,"units_per_acre",0,1,-1,-1,-1
52,84,1,"units_per_acre",0,4.4,-1,-1,-1
53,85,1,"units_per_acre",0,8.7,-1,-1,-1
54,86,1,"units_per_acre",0,35,-1,-1,-1
55,87,1,"units_per_acre",0,35,-1,-1,-1
56,88,1,"units_per_acre",0,1,-1,-1,-1
57,93,1,"units_per_acre",0,30,-1,-1,-1
58,104,1,"units_per_acre",0,21.78,-1,-1,-1
59,107,1,"units_per_acre",0,30,-1,-1,-1
60,108,1,"units_per_acre",0,30,-1,-1,-1
61,111,1,"units_per_acre",0,15,-1,-1,-1
62,112,1,"units_per_acre",0,29.1287,-1,-1,-1
63,113,1,"units_per_acre",0,20,-1,-1,-1
64,114,1,"units_per_acre",0,30,-1,-1,-1
65,115,1,"units_per_acre",0,29.1287,-1,-1,-1
66,117,1,"units_per_acre",0,10,-1,-1,-1
67,118,1,"units_per_acre",0,1,-1,-1,-1
68,119,1,"units_per_acre",0,1.8,-1,-1,-1
69,120,1,"units_per_acre",0,10,-1,-1,-1
70,121,1,"units_per_acre",0,15,-1,-1,-1
71,122,1,"units_per_acre",0,2.5,-1,-1,-1
72,123,1,"units_per_acre",0,20,-1,-1,-1
73,124,1,"units_per_acre",0,3.5,-1,-1,-1
74,125,1,"units_per_acre",0,30,-1,-1,-1
